C,dphi,tau,C_cl,dphi_cl,tau_cl,F_res,F_cap,B,S,zone,phi_lock_T_cl,C_hat_cl,theta_C_cl,pi_gate_ok_cl,phi_lock_ok_cl,G_phi,phase_type,inversion_flag,F_phi,C_phi_signed,R_combo_signed_raw,R_combo_signed_unit
0.0360423876628602,0.05,0.8561159420289856,0.0360423876628602,0.05,0.8561159420289856,0.6171292533392689,0.6171292533392689,0.8984,0.1017,kohärent,2.5683478260869568,0.0,0.62,False,True,0.9987502603949663,inphase,0,0.616358002469946,0.035997344063537946,17.10092040059462,1.0
0.0360423876628602,0.0646464646464646,0.8561159420289856,0.0360423876628602,0.0646464646464646,0.8561159420289856,0.4773109068795911,0.4773109068795911,0.8599,0.1402,kohärent,2.5683478260869568,0.0,0.62,False,True,0.9979111449289617,inphase,0,0.4763138735712938,0.03596710033861831,13.215380679735333,0.7727876845316359
0.0360423876628602,0.0792929292929292,0.8561159420289856,0.0360423876628602,0.0792929292929292,0.8561159420289856,0.3891451979655266,0.3891451979655266,0.8216,0.1785,kohärent,2.5683478260869568,0.0,0.62,False,True,0.9968579624620909,inphase,0,0.38792248914582184,0.035929141127867624,10.762952021226825,0.6293785228573184
0.0360423876628602,0.0939393939393939,0.8561159420289856,0.0360423876628602,0.0939393939393939,0.8561159420289856,0.3284720219386432,0.3284720219386432,0.7833,0.2168,regulativ,2.5683478260869568,0.0,0.62,False,True,0.9955909389178877,inphase,0,0.3270237687301508,0.03588347457410948,9.073310341954171,0.5305743860218588
0.0360423876628602,0.1085858585858585,0.8561159420289856,0.0360423876628602,0.1085858585858585,0.8561159420289856,0.2841664933980822,0.2841664933980822,0.7449,0.2552,regulativ,2.5683478260869568,0.0,0.62,False,True,0.994110346092024,inphase,0,0.28249285109972433,0.03583011047350885,7.837795146707734,0.4583259241669357
0.0360423876628602,0.1232323232323232,0.8561159420289856,0.0360423876628602,0.1232323232323232,0.8561159420289856,0.2503926068876543,0.2503926068876543,0.7067,0.2934,regulativ,2.5683478260869568,0.0,0.62,False,True,0.9924165015940056,inphase,0,0.248493754952449,0.03576906027347067,6.894486493981885,0.4031646445031201
0.0360423876628602,0.1378787878787878,0.8561159420289856,0.0360423876628602,0.1378787878787878,0.8561159420289856,0.2237941248373174,0.2237941248373174,0.6681,0.332,regulativ,2.5683478260869568,0.0,0.62,False,True,0.9905097687790405,inphase,0,0.22167026684671898,0.0357003370701842,6.150265873621317,0.35964531320825655
0.0360423876628602,0.1525252525252525,0.8561159420289856,0.0360423876628602,0.1525252525252525,0.8561159420289856,0.2023039605317471,0.2023039605317471,0.63,0.3701,regulativ,2.5683478260869568,0.0,0.62,False,True,0.9883905566700938,inphase,0,0.1999553241665382,0.03562395560581371,5.547782406562974,0.3244142582156029
0.0360423876628602,0.1671717171717171,0.8561159420289856,0.0360423876628602,0.1671717171717171,0.8561159420289856,0.1845794443522285,0.1845794443522285,0.5917,0.4084,regulativ,2.5683478260869568,0.0,0.62,False,True,0.9860593198701452,inphase,0,0.18200628135996774,0.03553993226533604,5.049784244663562,0.2952931261224966
0.0360423876628602,0.1818181818181818,0.8561159420289856,0.0360423876628602,0.1818181818181818,0.8561159420289856,0.169710544668299,0.169710544668299,0.5533,0.4468,regulativ,2.5683478260869568,0.0,0.62,False,True,0.9835165584646711,inphase,0,0.16691313082733025,0.03544828507302578,4.631023127230983,0.27080548992380293
0.0360423876628602,0.1964646464646464,0.8561159420289856,0.0360423876628602,0.1964646464646464,0.8561159420289856,0.1570586017495826,0.1570586017495826,0.515,0.4851,regulativ,2.5683478260869568,0.0,0.62,False,True,0.9807628179143679,inphase,0,0.15403723682961112,0.03534903368858882,4.2737800356200735,0.2499152054687927
0.0360423876628602,0.211111111111111,0.8561159420289856,0.0360423876628602,0.211111111111111,0.8561159420289856,0.1461621915803532,0.1461621915803532,0.4766,0.5235,regulativ,2.5683478260869568,0.0,0.62,False,True,0.9777986889381424,inphase,0,0.14291719929959495,0.03524219940294498,3.965253374344667,0.2318736817350948
0.0360423876628602,0.2257575757575757,0.8561159420289856,0.0360423876628602,0.2257575757575757,0.8561159420289856,0.1366796332899052,0.1366796332899052,0.4386,0.5615,regulativ,2.5683478260869568,0.0,0.62,False,True,0.974624807386394,inphase,0,0.13321136126881683,0.035127805133660865,3.695963833330726,0.21612660294016764
0.0360423876628602,0.2404040404040404,0.8561159420289856,0.0360423876628602,0.2404040404040404,0.8561159420289856,0.1283525127743437,0.1283525127743437,0.4027,0.5974,regulativ,2.5683478260869568,0.0,0.62,False,True,0.9712418541046152,inphase,0,0.12466133248593989,0.035005875420033646,3.458742346706318,0.20225474803017346
0.0360423876628602,0.255050505050505,0.8561159420289856,0.0360423876628602,0.255050505050505,0.8561159420289856,0.1209817744170052,0.1209817744170052,0.3741,0.626,regulativ,2.5683478260869568,0.0,0.62,False,True,0.9676505547873399,inphase,0,0.11706808113377187,0.03487643641782705,3.2480667548671986,0.18993520107574205
0.0360423876628602,0.2696969696969696,0.8561159420289856,0.0360423876628602,0.2696969696969696,0.8561159420289856,0.1144116031471678,0.1144116031471678,0.3429,0.6572,regulativ,2.5683478260869568,0.0,0.62,False,True,0.9638516798224708,inphase,0,0.11027581588457958,0.0347395158936605,3.059614610333186,0.17891520097519426
