tau,x0,x1,x2,v0,v1,v2,eps,phi,K,zone,dwell
0.0,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,1.0,0.0,0.5,U,1
0.05,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.975,0.0,0.5,U,2
0.1,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.9506249999999999,0.0,0.5,F,0
0.15000000000000002,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.9268593749999999,0.0,0.5,F,1
0.2,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.9036878906249999,0.0,0.5,F,2
0.25,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.8810956933593749,0.0,0.5,F,3
0.3,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.8590683010253906,0.0,0.5,F,3
0.35,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.8375915934997558,0.0,0.5,F,3
0.39999999999999997,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.8166518036622619,0.0,0.5,F,3
0.44999999999999996,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.7962355085707054,0.0,0.5,F,3
0.49999999999999994,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.7763296208564378,0.0,0.5,F,3
0.5499999999999999,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.7569213803350268,0.0,0.5,F,3
0.6,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.7379983458266511,0.0,0.5,F,3
0.65,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.7195483871809849,0.0,0.5,F,3
0.7000000000000001,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.7015596775014603,0.0,0.5,F,3
0.7500000000000001,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.6840206855639238,0.0,0.5,F,3
0.8000000000000002,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.6669201684248257,0.0,0.5,F,3
0.8500000000000002,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.650247164214205,0.0,0.5,F,3
0.9000000000000002,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.6339909851088499,0.0,0.5,F,3
0.9500000000000003,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.6181412104811286,0.0,0.5,F,3
1.0000000000000002,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.6026876802191004,0.0,0.5,F,3
1.0500000000000003,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.5876204882136229,0.0,0.5,F,3
1.1000000000000003,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.5729299760082823,0.0,0.5,F,3
1.1500000000000004,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.5586067266080753,0.0,0.5,F,3
1.2000000000000004,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.5446415584428734,0.0,0.5,F,3
1.2500000000000004,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.5310255194818015,0.0,0.5,F,3
1.3000000000000005,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.5177498814947565,0.0,0.5,F,3
1.3500000000000005,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.5048061344573876,0.0,0.5,F,3
1.4000000000000006,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.49218598109595296,0.0,0.5,F,3
1.4500000000000006,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.4798813315685541,0.0,0.5,F,3
1.5000000000000007,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.46788429827934025,0.0,0.5,F,3
1.5500000000000007,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.45618719082235676,0.0,0.5,F,3
1.6000000000000008,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.44478251105179784,0.0,0.5,F,3
1.6500000000000008,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.4336629482755029,0.0,0.5,F,3
1.7000000000000008,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.4228213745686153,0.0,0.5,F,3
1.7500000000000009,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.4122508402043999,0.0,0.5,F,3
1.800000000000001,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.4019445691992899,0.0,0.5,F,3
1.850000000000001,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.3918959549693076,0.0,0.5,F,3
1.900000000000001,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.3820985560950749,0.0,0.5,F,3
1.950000000000001,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.3725460921926981,0.0,0.5,F,3
2.000000000000001,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.3632324398878806,0.0,0.5,F,3
2.0500000000000007,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.3541516288906836,0.0,0.5,F,3
2.1000000000000005,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.34529783816841647,0.0,0.5,F,3
2.1500000000000004,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.33666539221420605,0.0,0.5,F,3
2.2,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.3282487574088509,0.0,0.5,F,3
2.25,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.3200425384736296,0.0,0.5,F,3
2.3,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.31204147501178886,0.0,0.5,F,3
2.3499999999999996,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.30424043813649415,0.0,0.5,F,3
2.3999999999999995,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.2966344271830818,0.0,0.5,F,3
2.4499999999999993,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.28921856650350475,0.0,0.5,F,3
2.499999999999999,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.28198810234091715,0.0,0.5,F,3
2.549999999999999,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.2749383997823942,0.0,0.5,F,3
2.5999999999999988,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.26806493978783436,0.0,0.5,F,3
2.6499999999999986,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,0.26136331629313847,0.0,0.5,F,3
