tau,x0,x1,x2,v0,v1,v2,eps,phi,K,zone,dwell
12.250000000000039,0.4307942667990767,0.37239447846297946,-0.11466641063054728,-0.04152215929474276,-0.023626395802119754,0.007274956901129337,0.002181807126510989,0.0,0.49245083023022423,F,3
12.30000000000004,0.4287104493217621,0.3712082787422205,-0.11430116017430314,-0.04167634954629143,-0.023723994415178473,0.0073050091248826055,0.0021280854899683615,0.0,0.4924329263509939,F,3
12.35000000000004,0.42661894174787696,0.37001720310197306,-0.11393440834197434,-0.04183015147770294,-0.023821512804948763,0.007335036646576032,0.002075688521700851,0.0,0.4924149912384003,F,3
12.400000000000041,0.4245197637749279,0.3688212556712775,-0.11356615640495972,-0.04198355945898152,-0.023918948613911584,0.007365038740292373,0.0020245835144395022,0.0,0.4923970259047491,F,3
12.450000000000042,0.422412935383979,0.36762044069829247,-0.11319640567133671,-0.042136567818978204,-0.024016299459700408,0.007395014672460093,0.0019747385693792124,0.0,0.4923790313750853,F,3
12.500000000000043,0.42029847684169674,0.3664147625515364,-0.11282515748624344,-0.04228917084564479,-0.02411356293512204,0.007424963701865156,0.0019261225761787145,0.0,0.4923610086872094,F,3
12.550000000000043,0.418176408702382,0.3652042257211276,-0.11245241323226068,-0.042441362786295456,-0.024210736608175354,0.0074548850796551935,0.0018787051934555867,0.0,0.4923429588916907,F,3
12.600000000000044,0.41604675180998785,0.36398883482002375,-0.11207817432979343,-0.042593137847882906,-0.02430781802207696,0.007484778049345053,0.0018324568297640312,0.0,0.4923248830518779,F,3
12.650000000000045,0.4139095273001235,0.362768594585259,-0.1117024422374519,-0.04274449019728774,-0.02440480469529452,0.0075146418468306775,0.0017873486250434716,0.0,0.49230678224390595,F,3
12.700000000000045,0.4117647566020426,0.36154350987917994,-0.11132521845243204,-0.0428954139616175,-0.02450169412158143,0.007544475700397429,0.0017433524325263107,0.0,0.49228865755669976,F,3
12.750000000000046,0.40961246144061675,0.3603135856906788,-0.1109465045108953,-0.04304590322851687,-0.024598483770022633,0.007574278830734665,0.0017004408010934814,0.0,0.49227051009197476,F,3
12.800000000000047,0.4074526638382921,0.3590788271364249,-0.11056630198834785,-0.04319595204649307,-0.024695171085077627,0.007604050450948918,0.0016585869580667066,0.0,0.49225234096423365,F,3
12.850000000000048,0.40528538611702963,0.3578392394620932,-0.11018461250001872,-0.04334555442524965,-0.024791753486634593,0.007633789766582633,0.0016177647924266523,0.0,0.4922341513007602,F,3
12.900000000000048,0.40311065090022763,0.35659482804358983,-0.10980143770123743,-0.04349470433604036,-0.0248882283700666,0.007663495975625961,0.0015779488384464332,0.0,0.49221594224160875,F,3
12.950000000000049,0.40092848111462626,0.35534559838827484,-0.10941677928781017,-0.04364339571202788,-0.0249845931063003,0.007693168268545214,0.0015391142597301851,0.0,0.49219771493959086,F,3
