tau,x0,x1,x2,v0,v1,v2,eps,phi,K,zone,dwell
0.0,0.6888437030500962,0.515908805880605,-0.15885683833831,0.0,0.0,0.0,1.0,0.0,0.4973227148321562,U,1
0.05,0.6888352986956372,0.5159034105406335,-0.15885517702471383,-0.0001680870891813957,-0.00010790679942848658,3.3226271923397777e-05,0.9751338642583922,0.0,0.4973226328290447,U,2
0.1,0.6888184898330781,0.515892619751868,-0.15885185436401317,-0.00033617725118118,-0.00021581577531112894,6.645321401349547e-05,0.950886057221705,0.0,0.49732246881663267,F,0
0.15000000000000002,0.6887932761551387,0.5158764332966618,-0.15884687028919103,-0.0005042735587885983,-0.00032372910412359346,9.968149644254409e-05,0.9272412071446644,0.0,0.49732222278254173,F,1
0.2,0.6887596572009018,0.5158548508485428,-0.15884022469972126,-0.0006723790847394662,-0.0004316489623790165,0.0001329117893952847,0.9041843242350268,0.0,0.49732189470820376,F,2
0.25,0.6887176323558176,0.5158278719722104,-0.15883191746156752,-0.0008404969016835573,-0.0005395775266481273,0.00016614476307449944,0.8817007911703258,0.0,0.4973214845688598,F,3
0.3,0.6886672008517096,0.5157954961235315,-0.15882194840718228,-0.001008630082158929,-0.0006475169735779829,0.00019938108770517493,0.8597763538498077,0.0,0.49732099233355936,F,3
0.35,0.6886083617667815,0.515757722649536,-0.15881031733550513,-0.001176781698562085,-0.0007554694799093153,0.00023262143354282894,0.8383971123757319,0.0,0.49732041796515897,F,3
0.39999999999999997,0.6885411140256257,0.5157145507884109,-0.15879702401196127,-0.0013449548231174446,-0.0008634372225022058,0.0002658664708769798,0.8175495122583578,0.0,0.4973197614203206,F,3
0.44999999999999996,0.6884654563992331,0.5156659796694937,-0.1587820681684593,-0.0015131525278523628,-0.000971422378343717,0.00029911687003947307,0.7972203358390765,0.0,0.4973190226495097,F,3
0.49999999999999994,0.6883813875050049,0.5156120083132649,-0.1587654495033889,-0.0016813778845645166,-0.0010794271245749554,0.00033237330140795107,0.7773966939262863,0.0,0.49731820159699336,F,3
0.5499999999999999,0.6882889058067654,0.5155526356313397,-0.1587471676816183,-0.0018496339647892934,-0.0011874536385042544,0.0003656364354114039,0.7580660176387428,0.0,0.49731729820083787,F,3
0.6,0.6881880096147768,0.5154878604264583,-0.1587272223344915,-0.0020179238397720345,-0.0012955040976266041,0.00039890694253641445,0.7392160504512444,0.0,0.497316312392906,F,3
0.65,0.6880786970857551,0.5154176813924763,-0.15870561305982486,-0.002186250580434035,-0.00140358067963961,0.0004321854933327096,0.7208348404376413,0.0,0.49731524409885447,F,3
