tau,zone,dwell
0.0,U,1
0.05,U,2
0.1,F,0
0.15000000000000002,F,1
0.2,F,2
0.25,F,3
0.3,F,3
0.35,F,3
0.39999999999999997,F,3
0.44999999999999996,F,3
0.49999999999999994,F,3
0.5499999999999999,F,3
0.6,F,3
0.65,F,3
0.7000000000000001,F,3
0.7500000000000001,F,3
0.8000000000000002,F,3
0.8500000000000002,F,3
0.9000000000000002,F,3
0.9500000000000003,F,3
1.0000000000000002,F,3
1.0500000000000003,F,3
1.1000000000000003,F,3
1.1500000000000004,F,3
1.2000000000000004,F,3
1.2500000000000004,F,3
1.3000000000000005,F,3
1.3500000000000005,F,3
1.4000000000000006,F,3
1.4500000000000006,F,3
1.5000000000000007,F,3
1.5500000000000007,F,3
1.6000000000000008,F,3
1.6500000000000008,F,3
1.7000000000000008,F,3
1.7500000000000009,F,3
1.800000000000001,F,3
1.850000000000001,F,3
1.900000000000001,F,3
1.950000000000001,F,3
2.000000000000001,F,3
2.0500000000000007,F,3
2.1000000000000005,F,3
2.1500000000000004,R↑,0
2.2,R↑,1
2.25,R↑,2
2.3,F,0
2.3499999999999996,F,1
2.3999999999999995,F,2
2.4499999999999993,F,3
2.499999999999999,F,3
2.549999999999999,F,3
2.5999999999999988,F,3
2.6499999999999986,F,3
2.6999999999999984,F,3
2.7499999999999982,F,3
2.799999999999998,F,3
2.849999999999998,F,3
2.8999999999999977,F,3
2.9499999999999975,F,3
2.9999999999999973,F,3
3.049999999999997,F,3
3.099999999999997,F,3
3.149999999999997,F,3
3.1999999999999966,F,3
3.2499999999999964,F,3
3.2999999999999963,F,3
3.349999999999996,F,3
3.399999999999996,F,3
3.4499999999999957,F,3
3.4999999999999956,F,3
3.5499999999999954,F,3
3.599999999999995,F,3
3.649999999999995,F,3
3.699999999999995,F,3
3.7499999999999947,F,3
3.7999999999999945,F,3
3.8499999999999943,F,3
3.899999999999994,F,3
3.949999999999994,F,3
3.999999999999994,F,3
4.049999999999994,F,3
4.099999999999993,F,3
4.149999999999993,F,3
4.199999999999993,F,3
4.249999999999993,F,3
4.299999999999993,F,3
4.3499999999999925,U,0
4.399999999999992,U,1
4.449999999999992,U,2
4.499999999999992,U,3
4.549999999999992,F,0
4.599999999999992,F,1
4.6499999999999915,F,2
4.699999999999991,F,3
4.749999999999991,F,3
4.799999999999991,F,3
4.849999999999991,F,3
4.899999999999991,F,3
4.94999999999999,F,3
4.99999999999999,F,3
5.04999999999999,F,3
5.09999999999999,F,3
5.14999999999999,F,3
5.1999999999999895,F,3
5.249999999999989,F,3
5.299999999999989,F,3
5.349999999999989,F,3
5.399999999999989,F,3
5.449999999999989,F,3
5.4999999999999885,F,3
5.549999999999988,F,3
5.599999999999988,F,3
5.649999999999988,F,3
5.699999999999988,F,3
5.749999999999988,F,3
5.799999999999987,F,3
5.849999999999987,F,3
5.899999999999987,F,3
5.949999999999987,F,3
5.999999999999987,F,3
6.0499999999999865,F,3
6.099999999999986,F,3
6.149999999999986,F,3
6.199999999999986,F,3
6.249999999999986,F,3
6.299999999999986,F,3
6.349999999999985,F,3
6.399999999999985,F,3
6.449999999999985,F,3
6.499999999999985,F,3
6.549999999999985,U,0
6.5999999999999845,U,1
6.649999999999984,U,2
6.699999999999984,U,3
6.749999999999984,F,0
6.799999999999984,F,1
6.849999999999984,F,2
6.8999999999999835,F,3
6.949999999999983,F,3
6.999999999999983,F,3
7.049999999999983,F,3
7.099999999999983,F,3
7.149999999999983,F,3
7.199999999999982,F,3
7.249999999999982,F,3
7.299999999999982,F,3
7.349999999999982,F,3
7.399999999999982,F,3
7.4499999999999815,F,3
7.499999999999981,F,3
7.549999999999981,F,3
7.599999999999981,F,3
7.649999999999981,F,3
7.699999999999981,F,3
7.7499999999999805,F,3
7.79999999999998,F,3
7.84999999999998,F,3
7.89999999999998,F,3
7.94999999999998,F,3
7.99999999999998,F,3
8.04999999999998,F,3
8.09999999999998,F,3
8.14999999999998,F,3
8.199999999999982,F,3
8.249999999999982,F,3
8.299999999999983,F,3
8.349999999999984,F,3
8.399999999999984,F,3
8.449999999999985,F,3
8.499999999999986,F,3
8.549999999999986,F,3
8.599999999999987,F,3
8.649999999999988,F,3
8.699999999999989,F,3
8.74999999999999,F,3
8.79999999999999,U,0
8.84999999999999,U,1
8.899999999999991,U,2
8.949999999999992,U,3
8.999999999999993,F,0
9.049999999999994,F,1
9.099999999999994,F,2
9.149999999999995,F,3
9.199999999999996,F,3
9.249999999999996,F,3
9.299999999999997,F,3
9.349999999999998,F,3
9.399999999999999,F,3
9.45,F,3
9.5,F,3
9.55,F,3
9.600000000000001,F,3
9.650000000000002,F,3
9.700000000000003,F,3
9.750000000000004,F,3
9.800000000000004,F,3
9.850000000000005,F,3
9.900000000000006,F,3
9.950000000000006,F,3
10.000000000000007,F,3
10.050000000000008,F,3
10.100000000000009,F,3
10.15000000000001,F,3
10.20000000000001,F,3
10.25000000000001,F,3
10.300000000000011,F,3
10.350000000000012,F,3
10.400000000000013,F,3
10.450000000000014,F,3
10.500000000000014,F,3
10.550000000000015,F,3
10.600000000000016,F,3
10.650000000000016,F,3
10.700000000000017,F,3
10.750000000000018,F,3
10.800000000000018,F,3
10.85000000000002,F,3
10.90000000000002,F,3
10.95000000000002,F,3
11.000000000000021,U,0
11.050000000000022,U,1
11.100000000000023,U,2
11.150000000000023,U,3
11.200000000000024,F,0
11.250000000000025,F,1
11.300000000000026,F,2
11.350000000000026,F,3
11.400000000000027,F,3
11.450000000000028,F,3
11.500000000000028,F,3
11.55000000000003,F,3
11.60000000000003,F,3
11.65000000000003,F,3
11.700000000000031,F,3
11.750000000000032,F,3
11.800000000000033,F,3
11.850000000000033,F,3
11.900000000000034,F,3
11.950000000000035,F,3
12.000000000000036,F,3
12.050000000000036,F,3
12.100000000000037,F,3
12.150000000000038,F,3
12.200000000000038,F,3
12.250000000000039,F,3
12.30000000000004,F,3
12.35000000000004,F,3
12.400000000000041,F,3
12.450000000000042,F,3
12.500000000000043,F,3
12.550000000000043,F,3
12.600000000000044,F,3
12.650000000000045,F,3
12.700000000000045,F,3
12.750000000000046,F,3
12.800000000000047,F,3
12.850000000000048,F,3
12.900000000000048,F,3
12.950000000000049,F,3
13.00000000000005,F,3
13.05000000000005,F,3
13.100000000000051,F,3
13.150000000000052,F,3
13.200000000000053,F,3
13.250000000000053,U,0
13.300000000000054,U,1
13.350000000000055,U,2
13.400000000000055,F,0
13.450000000000056,F,1
13.500000000000057,F,2
13.550000000000058,F,3
13.600000000000058,F,3
13.650000000000059,F,3
13.70000000000006,F,3
13.75000000000006,F,3
13.800000000000061,F,3
13.850000000000062,F,3
13.900000000000063,F,3
13.950000000000063,F,3
14.000000000000064,F,3
14.050000000000065,F,3
14.100000000000065,F,3
14.150000000000066,F,3
14.200000000000067,F,3
14.250000000000068,F,3
14.300000000000068,F,3
14.350000000000069,F,3
14.40000000000007,F,3
14.45000000000007,F,3
14.500000000000071,F,3
14.550000000000072,F,3
14.600000000000072,F,3
14.650000000000073,F,3
14.700000000000074,F,3
14.750000000000075,F,3
14.800000000000075,F,3
14.850000000000076,F,3
14.900000000000077,F,3
14.950000000000077,F,3
