R_Qeff_raw,R_PLV,R_combo_norm,Q_c,R_PLV_signed,R_combo_signed_raw,R_combo_signed_unit
17.12231884057971,0.9987502603949664,1.0,1.0,0.9987502603949663,17.10092040059462,1.0
13.243043478260878,0.9979111449289616,0.7722499993074895,0.7722499993074892,0.9979111449289617,13.215380679735333,0.7727876845316359
10.796876211575754,0.996857962462091,0.6285014678807862,0.6285014678807861,0.9968579624620909,10.762952021226825,0.6293785228573184
9.113492286115012,0.995590938917888,0.5294635165870237,0.5294635165870237,0.9955909389178877,9.073310341954171,0.5305743860218588
7.884230535894851,0.994110346092024,0.4570440827919281,0.4570440827919279,0.994110346092024,7.837795146707734,0.4583259241669357
6.947170349251606,0.9924165015940056,0.4017522670479748,0.4017522670479747,0.9924165015940056,6.894486493981885,0.4031646445031201
6.209192546583855,0.9905097687790408,0.3581299496920179,0.3581299496920179,0.9905097687790405,6.150265873621317,0.35964531320825655
5.612945580190038,0.9883905566700938,0.3228155223801234,0.3228155223801234,0.9883905566700938,5.547782406562974,0.3244142582156029
5.121176934191516,0.9860593198701452,0.2936254767582562,0.2936254767582561,0.9860593198701452,5.049784244663562,0.2952931261224966
4.708637681159421,0.9835165584646712,0.2690798919394309,0.2690798919394309,0.9835165584646711,4.631023127230983,0.27080548992380293
4.357608136805635,0.9807628179143678,0.2481401717957937,0.2481401717957937,0.9807628179143679,4.2737800356200735,0.2499152054687927
4.055286041189934,0.9777986889381424,0.230055953806229,0.230055953806229,0.9777986889381424,3.965253374344667,0.2318736817350948
3.792191421067991,0.974624807386394,0.2142716104309289,0.2142716104309289,0.974624807386394,3.6959638333307265,0.21612660294016767
3.5611545487760323,0.971241854104615,0.2003669285529016,0.2003669285529015,0.9712418541046152,3.458742346706318,0.20225474803017346
3.356652604390874,0.9676505547873396,0.1880182280803085,0.1880182280803084,0.9676505547873399,3.2480667548671986,0.18993520107574205
3.174362481680509,0.9638516798224708,0.1769721497664739,0.1769721497664739,0.9638516798224708,3.059614610333186,0.17891520097519426
3.010851803228049,0.9598460441260196,0.1670275441282361,0.1670275441282361,0.9598460441260197,2.889954192778136,0.16899407313056955
2.8633607520564044,0.9556345069672956,0.1580226835522334,0.1580226835522334,0.9556345069672957,2.736326340560927,0.16001047174430338
2.7296450325561863,0.951217971784579,0.1498260574809987,0.1498260574809987,0.9512179717845791,2.596487411559947,0.15183319673657236
2.6078608695652186,0.94659738599132,0.1423296316554816,0.1423296316554816,0.94659738599132,2.468594282159487,0.14435446890178208
2.496479477492477,0.9417737407729044,0.1354438347373408,0.1354438347373408,0.9417737407729043,2.351118816280876,0.1374849283667284
2.3942225497420786,0.9367480708740288,0.1290937770312198,0.1290937770312198,0.9367480708740286,2.24278335471399,0.1311498622399298
2.3000129785853347,0.9315214543767328,0.1232163619361891,0.1232163619361891,0.9315214543767327,2.142511434897172,0.12528632288252006
2.212936769213305,0.9260950124691344,0.117758053541477,0.117758053541477,0.9260950124691343,2.0493897048780014,0.1198409007743666
2.1322132895816246,0.9204699092049176,0.1126731328227339,0.1126731328227339,0.9204699092049174,1.9626381730667164,0.1147679848272069
2.057171802448291,0.9146473512536254,0.107922322067589,0.107922322067589,0.9146473512536252,1.8815867401829751,0.11002839005773923
1.9872327845455944,0.9086285876418112,0.103471689897976,0.103471689897976,0.9086285876418111,1.805656518337167,0.10558826519503488
1.921892931085478,0.902414909485104,0.0992917723074398,0.0992917723074398,0.9024149094851038,1.7343448354455626,0.1014182157929498
1.860713024387916,0.8960076497112438,0.0953568615783676,0.0953568615783675,0.8960076497112436,1.6672131037689164,0.0974925948261209
1.803308048103608,0.8894081827741491,0.0916444268242314,0.0916444268242314,0.8894081827741489,1.6038769340458274,0.09378892460022553
1.7493390765917354,0.882617924359076,0.0881346385821557,0.0881346385821557,0.8826179243590759,1.54399802478162,0.09028742246691782
1.6985065783741395,0.8756383310789316,0.0848099762912703,0.0848099762912703,0.8756383310789315,1.4872774656141179,0.08697060922886954
1.650544854155201,0.8684709001618094,0.0816549022733955,0.0816549022733955,0.8684709001618094,1.43345017524561,0.08382298389014003
1.605217391304348,0.8611171691298103,0.0786555894319981,0.0786555894319981,0.8611171691298103,1.382280255837939,0.08083075199799628
1.5623129633340012,0.8535787154692218,0.0757996926189116,0.0757996926189115,0.8535787154692218,1.3335570924035502,0.07798159754940329
1.5216423386152529,0.8458571562921231,0.073076155711413,0.073076155711413,0.8458571562921231,1.2870920614347936,0.07526449052356503
1.4830354901289513,0.8379541479894898,0.0704750480574063,0.0704750480574062,0.8379541479894898,1.2427157405691807,0.0726695237132365
1.446339219468764,0.8298713858758734,0.0679874252019191,0.0679874252019191,0.8298713858758735,1.2002755325071723,0.07018777378002632
1.411415125076929,0.8216106038257309,0.065605209790753,0.065605209790753,0.821610603825731,1.1596336331632253,0.06781118243921558
1.3781378579003185,0.813173573901482,0.0633210893212411,0.0633210893212411,0.8131735739014821,1.120665287237735,0.06553245445191172
1.3463936181234244,0.8045621059733755,0.0611284280237081,0.0611284280237081,0.8045621059733757,1.0832572848664954,0.06334496971454409
1.3160788549824467,0.7957780473312448,0.059021190646518,0.059021190646518,0.7957780473312449,1.047306661351872,0.06124270722384368
1.2870991383579282,0.7868232822882355,0.0569938763099166,0.0569938763099166,0.7868232822882356,1.012719568673145,0.05922017908684794
1.2593681762387752,0.7776997317765931,0.0550414609101296,0.0550414609101296,0.7776997317765932,0.9794102928688728,0.05727237306097381
1.2328069565217392,0.7684093529355933,0.0531593468113912,0.0531593468113912,0.7684093529355934,0.9473003957553678,0.0553947023648171
