id,K,varphi,varphi_deg,tau_rgn,zone,B,S,R_Qeff_raw,R_PLV,R_combo_norm,F_res,F_cap,C,C_cl,dphi_cl,tau_cl
0,1.0,0.05,2.8647889756541165,0.8561159420289856,kohärent,0.8984,0.1017,17.12231884057971,0.9987502603949664,1.0,0.6171292533392689,0.6171292533392689,0.0360423876628602,0.0360423876628602,0.05,0.8561159420289856
1,0.7722499993074895,0.0646464646464646,3.703969584684107,0.8561159420289856,kohärent,0.8599,0.1402,13.243043478260878,0.9979111449289616,0.7722499993074895,0.4773109068795911,0.4773109068795911,0.0360423876628602,0.0360423876628602,0.0646464646464646,0.8561159420289856
2,0.6285014678807862,0.0792929292929292,4.543150193714099,0.8561159420289856,kohärent,0.8216,0.1785,10.796876211575754,0.996857962462091,0.6285014678807862,0.3891451979655266,0.3891451979655266,0.0360423876628602,0.0360423876628602,0.0792929292929292,0.8561159420289856
3,0.5294635165870237,0.0939393939393939,5.382330802744095,0.8561159420289856,regulativ,0.7833,0.2168,9.113492286115012,0.995590938917888,0.5294635165870237,0.3284720219386432,0.3284720219386432,0.0360423876628602,0.0360423876628602,0.0939393939393939,0.8561159420289856
4,0.4570440827919281,0.1085858585858585,6.2215114117740855,0.8561159420289856,regulativ,0.7449,0.2552,7.884230535894851,0.994110346092024,0.4570440827919281,0.2841664933980822,0.2841664933980822,0.0360423876628602,0.0360423876628602,0.1085858585858585,0.8561159420289856
5,0.4017522670479748,0.1232323232323232,7.060692020804082,0.8561159420289856,regulativ,0.7067,0.2934,6.947170349251606,0.9924165015940056,0.4017522670479748,0.2503926068876543,0.2503926068876543,0.0360423876628602,0.0360423876628602,0.1232323232323232,0.8561159420289856
6,0.3581299496920179,0.1378787878787878,7.899872629834073,0.8561159420289856,regulativ,0.6681,0.332,6.209192546583855,0.9905097687790408,0.3581299496920179,0.2237941248373174,0.2237941248373174,0.0360423876628602,0.0360423876628602,0.1378787878787878,0.8561159420289856
7,0.3228155223801234,0.1525252525252525,8.73905323886407,0.8561159420289856,regulativ,0.63,0.3701,5.612945580190038,0.9883905566700938,0.3228155223801234,0.2023039605317471,0.2023039605317471,0.0360423876628602,0.0360423876628602,0.1525252525252525,0.8561159420289856
8,0.2936254767582562,0.1671717171717171,9.578233847894062,0.8561159420289856,regulativ,0.5917,0.4084,5.121176934191516,0.9860593198701452,0.2936254767582562,0.1845794443522285,0.1845794443522285,0.0360423876628602,0.0360423876628602,0.1671717171717171,0.8561159420289856
9,0.2690798919394309,0.1818181818181818,10.417414456924057,0.8561159420289856,regulativ,0.5533,0.4468,4.708637681159421,0.9835165584646712,0.2690798919394309,0.169710544668299,0.169710544668299,0.0360423876628602,0.0360423876628602,0.1818181818181818,0.8561159420289856
10,0.2481401717957937,0.1964646464646464,11.256595065954048,0.8561159420289856,regulativ,0.515,0.4851,4.357608136805635,0.9807628179143678,0.2481401717957937,0.1570586017495826,0.1570586017495826,0.0360423876628602,0.0360423876628602,0.1964646464646464,0.8561159420289856
11,0.230055953806229,0.211111111111111,12.09577567498404,0.8561159420289856,regulativ,0.4766,0.5235,4.055286041189934,0.9777986889381424,0.230055953806229,0.1461621915803532,0.1461621915803532,0.0360423876628602,0.0360423876628602,0.211111111111111,0.8561159420289856
12,0.2142716104309289,0.2257575757575757,12.934956284014037,0.8561159420289856,regulativ,0.4386,0.5615,3.792191421067991,0.974624807386394,0.2142716104309289,0.1366796332899052,0.1366796332899052,0.0360423876628602,0.0360423876628602,0.2257575757575757,0.8561159420289856
13,0.2003669285529016,0.2404040404040404,13.774136893044032,0.8561159420289856,regulativ,0.4027,0.5974,3.5611545487760323,0.971241854104615,0.2003669285529016,0.1283525127743437,0.1283525127743437,0.0360423876628602,0.0360423876628602,0.2404040404040404,0.8561159420289856
14,0.1880182280803085,0.255050505050505,14.613317502074025,0.8561159420289856,regulativ,0.3741,0.626,3.356652604390874,0.9676505547873396,0.1880182280803085,0.1209817744170052,0.1209817744170052,0.0360423876628602,0.0360423876628602,0.255050505050505,0.8561159420289856
15,0.1769721497664739,0.2696969696969696,15.452498111104015,0.8561159420289856,regulativ,0.3429,0.6572,3.174362481680509,0.9638516798224708,0.1769721497664739,0.1144116031471678,0.1144116031471678,0.0360423876628602,0.0360423876628602,0.2696969696969696,0.8561159420289856
16,0.1670275441282361,0.2843434343434343,16.291678720134012,0.8561159420289856,regulativ,0.3175,0.6826,3.010851803228049,0.9598460441260196,0.1670275441282361,0.108518287887367,0.108518287887367,0.0360423876628602,0.0360423876628602,0.2843434343434343,0.8561159420289856
17,0.1580226835522334,0.298989898989899,17.130859329164007,0.8561159420289856,regulativ,0.2953,0.7048,2.8633607520564044,0.9556345069672956,0.1580226835522334,0.1032023582442358,0.1032023582442358,0.0360423876628602,0.0360423876628602,0.298989898989899,0.8561159420289856
18,0.1498260574809987,0.3136363636363636,17.970039938194,0.8561159420289856,regulativ,0.2752,0.7249,2.7296450325561863,0.951217971784579,0.1498260574809987,0.0983829244453907,0.0983829244453907,0.0360423876628602,0.0360423876628602,0.3136363636363636,0.8561159420289856
19,0.1423296316554816,0.3282828282828282,18.80922054722399,0.8561159420289856,regulativ,0.2567,0.7434,2.6078608695652186,0.94659738599132,0.1423296316554816,0.0939935324316733,0.0939935324316733,0.0360423876628602,0.0360423876628602,0.3282828282828282,0.8561159420289856
